BP,Temp,CO2,Radiation
-414000,0.837,285.26,443.192
-413900,0.827,284.977,443.48
-413800,0.818,284.694,443.778
-413700,0.809,284.412,444.076
-413600,0.801,284.129,444.374
-413500,0.852,283.846,444.672
-413400,0.904,283.563,444.97
-413300,0.956,283.281,445.268
-413200,1.008,282.998,445.566
-413100,1.06,282.715,445.864
-413000,1.088,282.432,446.162
-412900,1.101,282.15,446.484
-412800,1.115,281.867,446.81
-412700,1.128,281.584,447.136
-412600,1.141,281.302,447.462
-412500,1.155,281.019,447.788
-412400,1.17,280.736,448.114
-412300,1.186,280.453,448.44
-412200,1.201,280.171,448.766
-412100,1.216,279.888,449.092
-412000,1.232,279.605,449.418
-411900,1.253,279.322,449.735
-411800,1.274,279.04,450.05
-411700,1.296,278.757,450.365
-411600,1.317,278.474,450.68
-411500,1.338,278.191,450.995
-411400,1.327,277.909,451.31
-411300,1.314,277.626,451.625
-411200,1.3,277.343,451.94
-411100,1.287,277.061,452.255
-411000,1.273,276.778,452.57
-410900,1.407,276.495,452.839
-410800,1.58,276.427,453.099
-410700,1.754,276.836,453.359
-410600,1.927,277.245,453.619
-410500,2.101,277.654,453.879
-410400,2.047,278.063,454.139
-410300,1.946,278.472,454.399
-410200,1.846,278.881,454.659
-410100,1.745,279.29,454.919
-410000,1.645,279.699,455.179
-409900,1.571,280.108,455.361
-409800,1.499,280.518,455.528
-409700,1.427,280.927,455.695
-409600,1.355,281.336,455.862
-409500,1.283,281.745,456.029
-409400,1.25,282.154,456.196
-409300,1.218,282.563,456.363
-409200,1.186,282.972,456.53
-409100,1.154,283.381,456.697
-409000,1.123,283.672,456.864
-408900,1.087,283.546,456.924
-408800,1.052,283.421,456.964
-408700,1.016,283.295,457.004
-408600,0.981,283.169,457.044
-408500,0.945,283.043,457.084
-408400,0.925,282.917,457.124
-408300,0.907,282.791,457.164
-408200,0.89,282.665,457.204
-408100,0.872,282.54,457.244
-408000,0.854,282.414,457.284
-407900,0.829,282.288,457.202
-407800,0.801,282.162,457.097
-407700,0.774,282.036,456.992
-407600,0.746,281.91,456.886
-407500,0.719,281.784,456.781
-407400,0.68,281.659,456.676
-407300,0.637,281.533,456.571
-407200,0.594,281.407,456.466
-407100,0.551,281.281,456.361
-407000,0.508,281.155,456.256
-406900,0.47,281.029,456.024
-406800,0.435,280.903,455.768
-406700,0.4,280.777,455.512
-406600,0.365,280.652,455.256
-406500,0.331,280.526,455
-406400,0.3,280.4,454.744
-406300,0.275,280.274,454.488
-406200,0.25,280.148,454.232
-406100,0.224,280.022,453.976
-406000,0.199,279.896,453.72
-405900,0.168,279.771,453.346
-405800,0.114,279.686,452.951
-405700,0.06,279.655,452.556
-405600,0.007,279.624,452.161
-405500,-0.047,279.593,451.766
-405400,-0.1,279.562,451.371
-405300,-0.134,279.531,450.976
-405200,-0.169,279.499,450.581
-405100,-0.203,279.468,450.186
-405000,-0.237,279.437,449.791
-404900,-0.271,279.406,449.301
-404800,-0.293,279.375,448.793
-404700,-0.31,279.343,448.285
-404600,-0.327,279.312,447.777
-404500,-0.344,279.281,447.269
-404400,-0.361,279.25,446.761
-404300,-0.388,279.219,446.253
-404200,-0.428,279.188,445.745
-404100,-0.467,279.156,445.237
-404000,-0.507,279.125,444.728
-403900,-0.546,279.094,444.16
-403800,-0.592,279.063,443.58
-403700,-0.672,279.032,443
-403600,-0.752,279.001,442.419
-403500,-0.831,278.969,441.839
-403400,-0.911,278.938,441.259
-403300,-0.991,278.907,440.679
-403200,-1.041,278.876,440.099
-403100,-1.081,278.845,439.519
-403000,-1.121,278.814,438.939
-402900,-1.161,278.782,438.339
-402800,-1.201,278.751,437.735
-402700,-1.232,278.72,437.131
-402600,-1.237,278.689,436.527
-402500,-1.242,278.658,435.923
-402400,-1.248,278.627,435.319
-402300,-1.253,278.595,434.715
-402200,-1.259,278.564,434.111
-402100,-1.235,278.533,433.507
-402000,-1.204,278.502,432.903
-401900,-1.173,278.471,432.321
-401800,-1.141,278.44,431.744
-401700,-1.11,278.408,431.167
-401600,-1.095,278.377,430.59
-401500,-1.11,278.346,430.013
-401400,-1.125,278.315,429.436
-401300,-1.14,278.284,428.859
-401200,-1.155,278.253,428.282
-401100,-1.17,278.221,427.705
-401000,-1.243,278.19,427.128
-400900,-1.318,278.159,426.615
-400800,-1.394,278.128,426.113
-400700,-1.469,278.097,425.611
-400600,-1.545,278.066,425.109
-400500,-1.586,278.034,424.606
-400400,-1.597,278.003,424.104
-400300,-1.608,277.919,423.602
-400200,-1.619,277.83,423.1
-400100,-1.629,277.74,422.598
-400000,-1.64,277.65,422.096
-399900,-1.642,277.56,421.692
-399800,-1.644,277.471,421.305
-399700,-1.646,277.381,420.918
-399600,-1.647,277.291,420.531
-399500,-1.649,277.201,420.144
-399400,-1.653,277.112,419.757
-399300,-1.659,277.022,419.37
-399200,-1.664,276.932,418.983
-399100,-1.67,276.842,418.596
-399000,-1.675,276.753,418.209
-398900,-1.684,276.663,417.946
-398800,-1.728,276.573,417.706
-398700,-1.772,276.483,417.466
-398600,-1.815,276.394,417.226
-398500,-1.859,276.304,416.986
-398400,-1.903,276.214,416.746
-398300,-1.943,276.124,416.506
-398200,-1.981,276.035,416.266
-398100,-2.019,275.945,416.026
-398000,-2.057,275.855,415.786
-397900,-2.095,275.765,415.682
-397800,-2.131,275.676,415.602
-397700,-2.144,275.586,415.522
-397600,-2.156,275.496,415.442
-397500,-2.169,275.406,415.362
-397400,-2.181,275.317,415.282
-397300,-2.194,275.227,415.202
-397200,-2.232,275.137,415.122
-397100,-2.293,275.047,415.042
-397000,-2.354,274.958,414.962
-396900,-2.415,274.868,415.018
-396800,-2.476,274.778,415.098
-396700,-2.536,274.648,415.178
-396600,-2.583,274.245,415.258
-396500,-2.629,273.842,415.338
-396400,-2.675,273.439,415.418
-396300,-2.72,273.036,415.498
-396200,-2.766,272.633,415.578
-396100,-2.828,272.23,415.658
-396000,-2.936,271.828,415.738
