dates,reservoir,volume (%),rain (mm/dia)
1/1/2003,Cantareira,42.5,0
1/2/2003,Cantareira,,11.1
1/3/2003,Cantareira,42.3,8.6
1/4/2003,Cantareira,,14.3
1/5/2003,Cantareira,42.4,12.7
1/6/2003,Cantareira,42.4,23.8
1/7/2003,Cantareira,42.5,0
1/8/2003,Cantareira,42.5,0
1/9/2003,Cantareira,42.6,0
1/10/2003,Cantareira,42.3,0
1/11/2003,Cantareira,42.4,25
1/12/2003,Cantareira,42.6,8.3
1/13/2003,Cantareira,43,23.3
1/14/2003,Cantareira,42.9,2.8
1/15/2003,Cantareira,42.8,0
1/16/2003,Cantareira,42.8,0
1/17/2003,Cantareira,43.3,43.4
1/18/2003,Cantareira,44.6,42.6
1/19/2003,Cantareira,45.3,6.4
1/20/2003,Cantareira,46.1,30
1/21/2003,Cantareira,46.7,0
1/22/2003,Cantareira,48.1,49.6
1/23/2003,Cantareira,49.2,18.2
1/24/2003,Cantareira,50.1,22.2
1/25/2003,Cantareira,51.1,1.1
1/26/2003,Cantareira,52.1,4.1
1/27/2003,Cantareira,53.3,18.5
1/28/2003,Cantareira,54.4,16.9
1/29/2003,Cantareira,56,18.2
1/30/2003,Cantareira,57.5,4.3
1/31/2003,Cantareira,59.1,5.1
2/1/2003,Cantareira,60.4,10.8
2/2/2003,Cantareira,61.1,0.3
2/3/2003,Cantareira,61.5,0
2/4/2003,Cantareira,61.9,0
2/5/2003,Cantareira,62.1,0.5
2/6/2003,Cantareira,62.6,0.3
2/7/2003,Cantareira,62.9,6.5
2/8/2003,Cantareira,63,0.3
2/9/2003,Cantareira,63.2,0
2/10/2003,Cantareira,63.3,0
2/11/2003,Cantareira,63.4,0.3
2/12/2003,Cantareira,63.4,0
2/13/2003,Cantareira,63.2,1.4
2/14/2003,Cantareira,63.6,13.7
2/15/2003,Cantareira,63.6,2.6
2/16/2003,Cantareira,63.8,8.3
2/17/2003,Cantareira,63.8,3.4
2/18/2003,Cantareira,64.7,40.6
2/19/2003,Cantareira,65,5
2/20/2003,Cantareira,65.2,4.3
2/21/2003,Cantareira,65.5,0.9
2/22/2003,Cantareira,65.6,1.5
2/23/2003,Cantareira,65.7,0.3
2/24/2003,Cantareira,65.7,0
2/25/2003,Cantareira,65.7,0
2/26/2003,Cantareira,65.6,0
2/27/2003,Cantareira,65.6,0
2/28/2003,Cantareira,65.5,0
3/1/2003,Cantareira,65.4,0
3/2/2003,Cantareira,65.3,0
3/3/2003,Cantareira,65.1,0
3/4/2003,Cantareira,65.1,7.1
3/5/2003,Cantareira,65,0
3/6/2003,Cantareira,65.1,7.8
3/7/2003,Cantareira,65.3,10.7
3/8/2003,Cantareira,65.3,8.2
3/9/2003,Cantareira,65.5,12.2
3/10/2003,Cantareira,65.6,2
3/11/2003,Cantareira,65.7,10.2
3/12/2003,Cantareira,65.8,4.3
3/13/2003,Cantareira,66,5.7
3/14/2003,Cantareira,66.1,3.3
3/15/2003,Cantareira,66.3,0
3/16/2003,Cantareira,66.4,0
3/17/2003,Cantareira,66.3,1.6
3/18/2003,Cantareira,66.4,2.7
3/19/2003,Cantareira,66.4,0
3/20/2003,Cantareira,66.4,4.2
3/21/2003,Cantareira,66.6,12.4
3/22/2003,Cantareira,66.9,8.2
3/23/2003,Cantareira,66.9,0
3/24/2003,Cantareira,67,0
3/25/2003,Cantareira,67,0
3/26/2003,Cantareira,67,0
3/27/2003,Cantareira,66.9,0
3/28/2003,Cantareira,66.9,2.8
3/29/2003,Cantareira,66.9,0
3/30/2003,Cantareira,66.8,0
3/31/2003,Cantareira,66.7,0
4/1/2003,Cantareira,66.6,0
4/2/2003,Cantareira,66.5,0
4/3/2003,Cantareira,66.4,0
4/4/2003,Cantareira,66.2,0
4/5/2003,Cantareira,66.2,8.7
4/6/2003,Cantareira,66.1,0
4/7/2003,Cantareira,66,7
4/8/2003,Cantareira,66,0
4/9/2003,Cantareira,65.8,0
4/10/2003,Cantareira,65.7,0.2
4/11/2003,Cantareira,65.6,0.3
4/12/2003,Cantareira,65.6,4.6
4/13/2003,Cantareira,65.5,0
4/14/2003,Cantareira,65.4,0
4/15/2003,Cantareira,65.1,0
4/16/2003,Cantareira,64.9,0
4/17/2003,Cantareira,64.8,0
4/18/2003,Cantareira,64.6,0
4/19/2003,Cantareira,64.5,0
4/20/2003,Cantareira,64.6,16.7
4/21/2003,Cantareira,64.6,1
4/22/2003,Cantareira,64.5,3.4
4/23/2003,Cantareira,64.4,0
4/24/2003,Cantareira,64.3,0
4/25/2003,Cantareira,64.2,0
4/26/2003,Cantareira,64,0
4/27/2003,Cantareira,63.9,0
4/28/2003,Cantareira,63.7,0
4/29/2003,Cantareira,63.5,0
4/30/2003,Cantareira,63.3,0
5/1/2003,Cantareira,63.1,0
5/2/2003,Cantareira,63,0.5
5/3/2003,Cantareira,63,19.5
5/4/2003,Cantareira,63,0
5/5/2003,Cantareira,62.9,0
5/6/2003,Cantareira,62.8,10.3
5/7/2003,Cantareira,62.8,2.3
5/8/2003,Cantareira,62.7,0
5/9/2003,Cantareira,62.5,0
5/10/2003,Cantareira,62.3,0
5/11/2003,Cantareira,62.1,0
5/12/2003,Cantareira,62,0
5/13/2003,Cantareira,61.8,0
5/14/2003,Cantareira,61.6,0
5/15/2003,Cantareira,61.4,0
5/16/2003,Cantareira,61.1,0
5/17/2003,Cantareira,60.9,0
5/18/2003,Cantareira,60.7,0
5/19/2003,Cantareira,60.6,0
5/20/2003,Cantareira,60.4,0
5/21/2003,Cantareira,60.2,0
5/22/2003,Cantareira,60,0
5/23/2003,Cantareira,59.8,0
5/24/2003,Cantareira,59.7,12.7
5/25/2003,Cantareira,59.5,0
5/26/2003,Cantareira,59.3,0
5/27/2003,Cantareira,59.1,0
5/28/2003,Cantareira,58.9,0
5/29/2003,Cantareira,58.8,0
5/30/2003,Cantareira,58.6,0
5/31/2003,Cantareira,58.3,0
6/1/2003,Cantareira,58.1,0
6/2/2003,Cantareira,57.9,0
6/3/2003,Cantareira,57.7,0
6/4/2003,Cantareira,57.5,0
6/5/2003,Cantareira,57.2,0
6/6/2003,Cantareira,57.2,12.5
6/7/2003,Cantareira,57,0
6/8/2003,Cantareira,56.9,0
6/9/2003,Cantareira,56.7,0
6/10/2003,Cantareira,56.5,0
